SNP1,SNP2,SNP3,CoC
solcap_snp_c2_40776,solcap_snp_c2_40775,solcap_snp_c1_11998,0.682661179
solcap_snp_c1_11998,solcap_snp_c1_11997,solcap_snp_c1_12015,0.66648422
solcap_snp_c1_12015,solcap_snp_c1_12014,solcap_snp_c2_50840,5.078247517
solcap_snp_c2_50840,solcap_snp_c2_50838,solcap_snp_c2_51591,0.807282927
solcap_snp_c2_51591,solcap_snp_c2_51578,solcap_snp_c2_58105,0.600002005
solcap_snp_c2_58105,solcap_snp_c1_14684,solcap_snp_c2_46952,0.688223233
solcap_snp_c2_46952,solcap_snp_c2_46941,solcap_snp_c2_42390,0.717685262
solcap_snp_c2_42390,solcap_snp_c2_42387,solcap_snp_c1_12447,0
solcap_snp_c1_12447,solcap_snp_c1_12443,solcap_snp_c1_12442,0.796689839
solcap_snp_c1_12442,solcap_snp_c1_12441,solcap_snp_c1_12440,0.604545007
solcap_snp_c1_12440,solcap_snp_c1_12420,solcap_snp_c1_16067,0.597289708
solcap_snp_c1_16067,solcap_snp_c2_49128,solcap_snp_c2_49116,0.631263649
solcap_snp_c2_49116,solcap_snp_c2_49117,solcap_snp_c2_10311,0.682528654
solcap_snp_c2_10311,solcap_snp_c2_10411,solcap_snp_c1_3374,0.447183119
solcap_snp_c1_3374,solcap_snp_c1_3393,solcap_snp_c2_10287,0.612214299
solcap_snp_c2_10287,solcap_snp_c2_10319,solcap_snp_c2_10338,0.600238908
solcap_snp_c2_10338,solcap_snp_c2_10341,solcap_snp_c2_10358,0.704653397
solcap_snp_c2_10358,solcap_snp_c2_54371,solcap_snp_c2_54368,0.825034584
solcap_snp_c2_54368,solcap_snp_c2_42405,solcap_snp_c2_42406,0.511597548
solcap_snp_c2_42406,solcap_snp_c1_12456,solcap_snp_c2_42451,0.468817854
solcap_snp_c2_42451,solcap_snp_c2_42455,solcap_snp_c2_42473,0.602483138
solcap_snp_c2_42473,solcap_snp_c2_42495,solcap_snp_c2_55571,0.695717156
solcap_snp_c2_55571,solcap_snp_c2_55240,solcap_snp_c2_8427,0.651629622
solcap_snp_c2_8427,solcap_snp_c2_8428,solcap_snp_c2_8430,0.703660007
solcap_snp_c2_8430,solcap_snp_c2_8431,solcap_snp_c2_8256,1.120889191
solcap_snp_c2_8256,solcap_snp_c2_8278,solcap_snp_c2_8295,0
solcap_snp_c2_8295,solcap_snp_c2_8302,solcap_snp_c2_8460,10
solcap_snp_c2_8460,solcap_snp_c2_8509,solcap_snp_c2_8510,0.718869513
solcap_snp_c2_8510,solcap_snp_c2_8512,solcap_snp_c2_8513,10
solcap_snp_c2_8513,solcap_snp_c2_8517,solcap_snp_c2_8522,1.365481229
solcap_snp_c2_8522,solcap_snp_c2_8210,solcap_snp_c2_3603,0.681266878
solcap_snp_c2_3603,solcap_snp_c2_3512,solcap_snp_c1_1163,0.688617689
solcap_snp_c1_1163,solcap_snp_c2_3452,solcap_snp_c2_3451,1.049666677
solcap_snp_c2_3451,solcap_snp_c1_1124,solcap_snp_c2_3449,10
solcap_snp_c2_3449,solcap_snp_c1_1116,solcap_snp_c1_1094,0.938430984
solcap_snp_c1_1094,solcap_snp_c1_1077,solcap_snp_c1_1250,1.27038338
