"","mrk","LG","pos"
"146","solcap_snp_c1_4455","lg5",110.178650783941
"147","solcap_snp_c2_13865","lg5",110.179650793941
"148","solcap_snp_c2_38252","lg5",110.273724164666
"149","solcap_snp_c2_49385","lg5",112.181555525039
"150","solcap_snp_c2_52870","lg5",113.046975138991
"151","solcap_snp_c2_38365","lg5",114.837057606918
"152","solcap_snp_c2_38364","lg5",115.483083331826
"153","solcap_snp_c2_50226","lg5",115.677439036418
"154","solcap_snp_c2_48422","lg5",115.678439046418
"155","solcap_snp_c2_47966","lg5",115.679439056418
"156","solcap_snp_c1_14404","lg5",116.039851038561
"157","solcap_snp_c1_14402","lg5",116.040851048561
"158","solcap_snp_c2_57241","lg5",116.447615655316
"159","solcap_snp_c2_57242","lg5",116.448615665316
"160","solcap_snp_c2_57245","lg5",116.449615675316
"161","solcap_snp_c2_52397","lg5",116.450615685316
"162","solcap_snp_c2_40088","lg5",116.715455536198
"163","solcap_snp_c2_40089","lg5",117.011410564801
"164","solcap_snp_c1_11868","lg5",117.013592746233
"165","solcap_snp_c2_40092","lg5",117.284437856168
"166","solcap_snp_c2_47405","lg5",119.315641319784
"167","solcap_snp_c2_5006","lg5",119.974157594721
"168","solcap_snp_c1_1802","lg5",119.975157604721
"169","solcap_snp_c2_5217","lg5",120.393242202855
"170","solcap_snp_c2_5216","lg5",120.868114275092
"171","solcap_snp_c2_5215","lg5",121.35016368443
"172","solcap_snp_c2_5214","lg5",121.705470121671
"173","solcap_snp_c1_1881","lg5",122.63442029341
"174","solcap_snp_c2_5156","lg5",122.953720751867
"175","solcap_snp_c1_1873","lg5",123.160260854443
"176","solcap_snp_c1_16071","lg5",125.491887595413
"177","solcap_snp_c1_15965","lg5",126.650959350039
"178","solcap_snp_c2_44375","lg5",126.830095681498
"179","solcap_snp_c1_13068","lg5",126.96603383156
"180","solcap_snp_c2_40803","lg5",127.927679238169
"181","solcap_snp_c2_40776","lg5",128.346413564878
"182","solcap_snp_c2_40775","lg5",128.347413574878
"183","solcap_snp_c1_11998","lg5",128.348413584878
"184","solcap_snp_c1_11997","lg5",128.349413594878
"185","solcap_snp_c1_12015","lg5",128.350413604878
"186","solcap_snp_c1_12014","lg5",128.614900756183
"187","solcap_snp_c2_50840","lg5",129.142473386979
"188","solcap_snp_c2_50838","lg5",129.143473396979
"189","solcap_snp_c2_51591","lg5",129.144810269566
"190","solcap_snp_c2_51578","lg5",129.145810279566
"191","solcap_snp_c2_58105","lg5",129.702831605297
"192","solcap_snp_c1_14684","lg5",130.908483447934
"193","solcap_snp_c2_46952","lg5",130.914563051247
"194","solcap_snp_c2_46941","lg5",131.676129187909
"195","solcap_snp_c2_42390","lg5",131.677129197909
"196","solcap_snp_c2_42387","lg5",131.678129207909
"197","solcap_snp_c1_12447","lg5",132.642544659736
"198","solcap_snp_c1_12443","lg5",133.03768128901
"199","solcap_snp_c1_12442","lg5",134.180146775466
"200","solcap_snp_c1_12441","lg5",134.614666174955
"201","solcap_snp_c1_12440","lg5",135.982032911676
"202","solcap_snp_c1_12420","lg5",135.983032921676
"203","solcap_snp_c1_16067","lg5",136.243177644049
"204","solcap_snp_c2_49128","lg5",136.244177654049
"205","solcap_snp_c2_49116","lg5",137.174063831892
"206","solcap_snp_c2_49117","lg5",137.835578977982
"207","solcap_snp_c2_10311","lg5",138.552553082527
"208","solcap_snp_c2_10411","lg5",139.321475920262
"209","solcap_snp_c1_3374","lg5",139.895757650392
"210","solcap_snp_c1_3393","lg5",141.121266771497
"211","solcap_snp_c2_10287","lg5",141.952833554361
"212","solcap_snp_c2_10319","lg5",142.680221913501
"213","solcap_snp_c2_10338","lg5",143.379997348398
"214","solcap_snp_c2_10341","lg5",143.380997358398
"215","solcap_snp_c2_10358","lg5",145.25930117474
"216","solcap_snp_c2_54371","lg5",148.407714716207
"217","solcap_snp_c2_54368","lg5",148.408714726208
"218","solcap_snp_c2_42405","lg5",148.444609786016
"219","solcap_snp_c2_42406","lg5",148.445609796016
"220","solcap_snp_c1_12456","lg5",149.809623724099
"221","solcap_snp_c2_42451","lg5",150.357397709964
"222","solcap_snp_c2_42455","lg5",151.213738547551
"223","solcap_snp_c2_42473","lg5",151.658398537525
"224","solcap_snp_c2_42495","lg5",151.665123188297
"225","solcap_snp_c2_55571","lg5",152.41974434096
"226","solcap_snp_c2_55240","lg5",152.42074435096
"227","solcap_snp_c2_8427","lg5",153.880523399521
"228","solcap_snp_c2_8428","lg5",153.894975378292
"229","solcap_snp_c2_8430","lg5",154.274444141284
"230","solcap_snp_c2_8431","lg5",155.969766657912
"231","solcap_snp_c2_8256","lg5",156.565211081818
"232","solcap_snp_c2_8278","lg5",157.534352657309
"233","solcap_snp_c2_8295","lg5",158.405785522809
"234","solcap_snp_c2_8302","lg5",158.828752072446
"235","solcap_snp_c2_8460","lg5",160.90394808613
"236","solcap_snp_c2_8509","lg5",161.610711176893
"237","solcap_snp_c2_8510","lg5",161.611711186893
"238","solcap_snp_c2_8512","lg5",161.612711196893
"239","solcap_snp_c2_8513","lg5",161.625387594862
"240","solcap_snp_c2_8517","lg5",161.9743851144
"241","solcap_snp_c2_8522","lg5",162.742868109861
"242","solcap_snp_c2_8210","lg5",165.46788680387
"243","solcap_snp_c2_3603","lg5",167.344555714081
"244","solcap_snp_c2_3512","lg5",168.316540512266
"245","solcap_snp_c1_1163","lg5",168.666479320445
"246","solcap_snp_c2_3452","lg5",171.202536111159
"247","solcap_snp_c2_3451","lg5",171.203536121159
"248","solcap_snp_c1_1124","lg5",171.920248293667
"249","solcap_snp_c2_3449","lg5",171.92730835628
"250","solcap_snp_c1_1116","lg5",171.929144408995
"251","solcap_snp_c1_1094","lg5",172.719610694415
"252","solcap_snp_c1_1077","lg5",173.715097616539
"253","solcap_snp_c1_1250","lg5",174.547743401939
"254","solcap_snp_c1_1216","lg5",174.570468955938
